date,cpi_index,cpi_inflation_yoy,avg_hourly_earnings,wage_growth_yoy,real_wage_growth
2020-01-01,259.127,2.6,28.43,3.04,0.44
2020-02-01,259.25,2.34,28.54,3.07,0.73
2020-03-01,258.076,1.49,28.73,3.46,1.97
2020-04-01,256.032,0.31,30.04,8.1,7.79
2020-05-01,255.802,0.2,29.72,6.6,6.4
2020-06-01,257.042,0.72,29.38,5.04,4.32
2020-07-01,258.352,1.0,29.39,4.85,3.85
2020-08-01,259.316,1.28,29.49,4.8,3.52
2020-09-01,259.997,1.39,29.51,4.79,3.4
2020-10-01,260.319,1.23,29.54,4.6,3.37
2020-11-01,260.911,1.18,29.64,4.59,3.41
2020-12-01,262.045,1.32,29.91,5.39,4.07
2021-01-01,262.687,1.37,29.93,5.28,3.91
2021-02-01,263.579,1.67,30.05,5.29,3.62
2021-03-01,264.961,2.67,30.03,4.52,1.85
2021-04-01,266.614,4.13,30.22,0.6,-3.53
2021-05-01,268.383,4.92,30.41,2.32,-2.6
2021-06-01,270.654,5.3,30.54,3.95,-1.35
2021-07-01,271.903,5.25,30.66,4.32,-0.93
2021-08-01,272.676,5.15,30.78,4.37,-0.78
2021-09-01,273.91,5.35,30.98,4.98,-0.37
2021-10-01,276.55,6.24,31.14,5.42,-0.82
2021-11-01,278.919,6.9,31.23,5.36,-1.54
2021-12-01,280.845,7.17,31.39,4.95,-2.22
2022-01-01,282.543,7.56,31.6,5.58,-1.98
2022-02-01,284.5,7.94,31.64,5.29,-2.65
2022-03-01,287.674,8.57,31.8,5.89,-2.68
2022-04-01,288.561,8.23,31.96,5.76,-2.47
2022-05-01,291.298,8.54,32.1,5.56,-2.98
2022-06-01,294.957,8.98,32.19,5.4,-3.58
2022-07-01,294.913,8.46,32.34,5.48,-2.98
2022-08-01,295.097,8.22,32.44,5.39,-2.83
2022-09-01,296.349,8.19,32.57,5.13,-3.06
2022-10-01,298.007,7.76,32.7,5.01,-2.75
2022-11-01,298.786,7.12,32.82,5.09,-2.03
2022-12-01,298.832,6.4,32.94,4.94,-1.46
2023-01-01,300.42,6.33,33.02,4.49,-1.84
2023-02-01,301.45,5.96,33.15,4.77,-1.19
2023-03-01,301.821,4.92,33.27,4.62,-0.3
2023-04-01,302.845,4.95,33.43,4.6,-0.35
2023-05-01,303.334,4.13,33.5,4.36,0.23
2023-06-01,304.014,3.07,33.69,4.66,1.59
2023-07-01,304.609,3.29,33.85,4.67,1.38
2023-08-01,306.082,3.72,33.89,4.47,0.75
2023-09-01,307.276,3.69,34.01,4.42,0.73
2023-10-01,307.696,3.25,34.08,4.22,0.97
2023-11-01,308.148,3.13,34.17,4.11,0.98
2023-12-01,308.741,3.32,34.29,4.1,0.78
2024-01-01,309.698,3.09,34.47,4.39,1.3
2024-02-01,310.967,3.16,34.52,4.13,0.97
2024-03-01,312.345,3.49,34.65,4.15,0.66
2024-04-01,313.023,3.36,34.76,3.98,0.62
2024-05-01,313.175,3.24,34.89,4.15,0.91
2024-06-01,313.044,2.97,35.01,3.92,0.95
2024-07-01,313.569,2.94,35.08,3.63,0.69
2024-08-01,314.062,2.61,35.22,3.92,1.31
2024-09-01,314.732,2.43,35.34,3.91,1.48
2024-10-01,315.631,2.58,35.46,4.05,1.47
2024-11-01,316.528,2.72,35.6,4.18,1.46
2024-12-01,317.604,2.87,35.69,4.08,1.21
2025-01-01,318.961,2.99,35.84,3.97,0.98
2025-02-01,319.679,2.8,35.94,4.11,1.31
2025-03-01,319.785,2.38,36.11,4.21,1.83
2025-04-01,320.302,2.33,36.12,3.91,1.58
2025-05-01,320.62,2.38,36.28,3.98,1.6
2025-06-01,321.435,2.68,36.36,3.86,1.18
2025-07-01,322.169,2.74,36.47,3.96,1.22
2025-08-01,323.291,2.94,36.62,3.98,1.04
2025-09-01,324.245,3.02,36.7,3.85,0.83
2025-10-01,,,36.85,3.92,
2025-11-01,325.063,2.7,37.0,3.93,1.23
2025-12-01,326.031,2.65,37.02,3.73,1.08
2026-01-01,326.588,2.39,37.15,3.66,1.27
2026-02-01,327.46,2.43,37.27,3.7,1.27
2026-03-01,330.293,3.29,37.35,3.43,0.14
2026-04-01,332.407,3.78,37.41,3.57,-0.21
2026-05-01,333.979,4.17,37.49,3.34,-0.83
2026-06-01,332.568,3.46,37.59,3.38,-0.08
2026-07-01,332.813,3.3,37.65,3.24,-0.06
2026-08-01,334.131,3.35,37.75,3.09,-0.26
